dateTime,open,high,low,close,adjClose,vol,openInterest
1262563200000,1.43259,1.43336,1.43151,1.43153,1.43153,969,0
1262566800000,1.43151,1.43153,1.42879,1.42886,1.42886,2098,0
1262570400000,1.42885,1.42885,1.42569,1.42705,1.42705,2082,0
1262574000000,1.42702,1.42989,1.42700,1.42939,1.42939,1544,0
1262577600000,1.42938,1.42968,1.42718,1.42848,1.42848,1131,0
1262581200000,1.42847,1.42985,1.42822,1.42897,1.42897,1040,0
1262584800000,1.42894,1.43082,1.42874,1.43004,1.43004,1105,0
1262588400000,1.43003,1.43090,1.42800,1.42949,1.42949,1723,0
1262592000000,1.42946,1.43068,1.42688,1.43034,1.43034,2571,0
1262595600000,1.43032,1.43384,1.42999,1.43373,1.43373,2733,0
1262599200000,1.43374,1.43950,1.43357,1.43945,1.43945,2664,0
1262602800000,1.43942,1.43994,1.43741,1.43778,1.43778,2418,0
1262606400000,1.43781,1.44162,1.43768,1.43921,1.43921,2222,0
1262610000000,1.43918,1.44040,1.43860,1.43976,1.43976,2154,0
1262613600000,1.43922,1.44329,1.43877,1.44250,1.44250,2621,0
1262617200000,1.44249,1.44498,1.44188,1.44266,1.44266,2949,0
1262620800000,1.44262,1.44543,1.44030,1.44382,1.44382,3677,0
1262624400000,1.44381,1.44405,1.44166,1.44172,1.44172,2482,0
1262628000000,1.44175,1.44210,1.44121,1.44144,1.44144,1551,0
1262631600000,1.44146,1.44280,1.44100,1.44120,1.44120,1277,0
1262635200000,1.44121,1.44263,1.44108,1.44110,1.44110,1224,0
1262638800000,1.44111,1.44210,1.44074,1.44106,1.44106,1205,0
1262642400000,1.44104,1.44139,1.44029,1.44118,1.44118,1053,0
1262646000000,1.44111,1.44216,1.44089,1.44111,1.44111,1012,0
1262649600000,1.44107,1.44254,1.44056,1.44240,1.44240,891,0
1262653200000,1.44241,1.44391,1.44120,1.44183,1.44183,1835,0
1262656800000,1.44180,1.44322,1.44143,1.44189,1.44189,1483,0
1262660400000,1.44188,1.44188,1.44058,1.44142,1.44142,1317,0
1262664000000,1.44139,1.44258,1.44123,1.44222,1.44222,1051,0
1262667600000,1.44226,1.44422,1.44180,1.44217,1.44217,1573,0
1262671200000,1.44212,1.44723,1.44157,1.44635,1.44635,2128,0
1262674800000,1.44631,1.44764,1.44463,1.44755,1.44755,2124,0
1262678400000,1.44749,1.44830,1.44472,1.44520,1.44520,2573,0
1262682000000,1.44521,1.44537,1.44042,1.44162,1.44162,3320,0
1262685600000,1.44161,1.44372,1.44141,1.44312,1.44312,2555,0
1262689200000,1.44316,1.44370,1.44134,1.44177,1.44177,2203,0
1262692800000,1.44176,1.44249,1.43995,1.44176,1.44176,2160,0
1262696400000,1.44175,1.44540,1.44168,1.44378,1.44378,1726,0
1262700000000,1.44381,1.44459,1.44200,1.44239,1.44239,2604,0
1262703600000,1.44233,1.44267,1.43875,1.44037,1.44037,3431,0
1262707200000,1.44031,1.44337,1.44017,1.44174,1.44174,2952,0
1262710800000,1.44173,1.44232,1.43861,1.44029,1.44029,2762,0
1262714400000,1.44030,1.44060,1.43830,1.43916,1.43916,1758,0
1262718000000,1.43917,1.43923,1.43467,1.43604,1.43604,2249,0
1262721600000,1.43598,1.43690,1.43487,1.43689,1.43689,1636,0
1262725200000,1.43690,1.43725,1.43643,1.43669,1.43669,1036,0
1262728800000,1.43674,1.43726,1.43632,1.43650,1.43650,623,0
1262732400000,1.43651,1.43668,1.43591,1.43624,1.43624,696,0
1262736000000,1.43632,1.43700,1.43488,1.43641,1.43641,968,0
1262739600000,1.43645,1.43655,1.43342,1.43469,1.43469,1907,0
1262743200000,1.43468,1.43679,1.43407,1.43675,1.43675,1885,0
1262746800000,1.43674,1.43677,1.43417,1.43565,1.43565,1355,0
1262750400000,1.43563,1.43628,1.43510,1.43556,1.43556,956,0
1262754000000,1.43552,1.43612,1.43531,1.43557,1.43557,784,0
1262757600000,1.43558,1.43581,1.43452,1.43559,1.43559,1186,0
1262761200000,1.43557,1.43572,1.42901,1.43121,1.43121,2290,0
1262764800000,1.43120,1.43323,1.42831,1.43312,1.43312,3386,0
1262768400000,1.43311,1.43517,1.43268,1.43489,1.43489,2375,0
1262772000000,1.43488,1.43820,1.43476,1.43775,1.43775,2473,0
1262775600000,1.43770,1.43788,1.43525,1.43788,1.43788,1959,0
1262779200000,1.43784,1.43784,1.43454,1.43495,1.43495,1787,0
1262782800000,1.43493,1.43569,1.43362,1.43559,1.43559,1814,0
1262786400000,1.43553,1.43720,1.43434,1.43593,1.43593,2614,0
1262790000000,1.43585,1.43652,1.43430,1.43514,1.43514,2618,0
1262793600000,1.43516,1.43919,1.43516,1.43863,1.43863,3300,0
1262797200000,1.43859,1.44155,1.43833,1.44017,1.44017,2770,0
1262800800000,1.44019,1.44045,1.43888,1.44044,1.44044,1430,0
1262804400000,1.44041,1.44049,1.43833,1.43978,1.43978,1454,0
1262808000000,1.43991,1.44338,1.43991,1.44108,1.44108,2856,0
1262811600000,1.44107,1.44126,1.44024,1.44119,1.44119,1217,0
1262815200000,1.44120,1.44165,1.44044,1.44086,1.44086,993,0
1262818800000,1.44087,1.44124,1.43928,1.43998,1.43998,1058,0
1262822400000,1.44001,1.44077,1.43938,1.44018,1.44018,785,0
1262826000000,1.44017,1.44456,1.43996,1.44235,1.44235,2327,0
1262829600000,1.44233,1.44259,1.44127,1.44238,1.44238,1399,0
1262833200000,1.44239,1.44242,1.43939,1.44019,1.44019,1351,0
1262836800000,1.44021,1.44097,1.43946,1.44057,1.44057,944,0
1262840400000,1.44059,1.44156,1.43959,1.43992,1.43992,1179,0
1262844000000,1.43993,1.44028,1.43818,1.43904,1.43904,1453,0
1262847600000,1.43905,1.43931,1.43583,1.43639,1.43639,2244,0
1262851200000,1.43637,1.43896,1.43552,1.43870,1.43870,2374,0
1262854800000,1.43871,1.43989,1.43586,1.43626,1.43626,2502,0
1262858400000,1.43629,1.43816,1.43505,1.43517,1.43517,2071,0
1262862000000,1.43522,1.43578,1.43391,1.43491,1.43491,2430,0
1262865600000,1.43497,1.43515,1.43279,1.43346,1.43346,2215,0
1262869200000,1.43347,1.43389,1.43157,1.43174,1.43174,2190,0
1262872800000,1.43177,1.43351,1.42994,1.43328,1.43328,2995,0
1262876400000,1.43327,1.43503,1.43153,1.43196,1.43196,2886,0
1262880000000,1.43198,1.43307,1.43089,1.43267,1.43267,2776,0
1262883600000,1.43266,1.43329,1.43041,1.43122,1.43122,2480,0
1262887200000,1.43123,1.43328,1.43121,1.43236,1.43236,1687,0
1262890800000,1.43237,1.43248,1.43080,1.43085,1.43085,1186,0
1262894400000,1.43084,1.43270,1.43059,1.43261,1.43261,1311,0
1262898000000,1.43262,1.43262,1.43067,1.43221,1.43221,1564,0
1262901600000,1.43223,1.43230,1.43074,1.43077,1.43077,916,0
1262905200000,1.43076,1.43135,1.43036,1.43041,1.43041,1033,0
1262908800000,1.43039,1.43176,1.43036,1.43166,1.43166,948,0
1262912400000,1.43172,1.43266,1.43011,1.43162,1.43162,1623,0
1262916000000,1.43163,1.43227,1.43093,1.43117,1.43117,1362,0
1262919600000,1.43118,1.43196,1.43023,1.43084,1.43084,1160,0
1262923200000,1.43084,1.43179,1.43070,1.43128,1.43128,939,0
1262926800000,1.43127,1.43180,1.43082,1.43123,1.43123,898,0
1262930400000,1.43125,1.43160,1.42871,1.42926,1.42926,1414,0
1262934000000,1.42931,1.43161,1.42927,1.43109,1.43109,1627,0
1262937600000,1.43112,1.43344,1.43038,1.43180,1.43180,2067,0
1262941200000,1.43179,1.43327,1.43140,1.43288,1.43288,1961,0
1262944800000,1.43282,1.43336,1.43201,1.43221,1.43221,1829,0
1262948400000,1.43219,1.43247,1.42970,1.43015,1.43015,1587,0
1262952000000,1.43014,1.43108,1.42896,1.42991,1.42991,1715,0
1262955600000,1.42985,1.43006,1.42762,1.42870,1.42870,2059,0
1262959200000,1.42871,1.44144,1.42634,1.44039,1.44039,4413,0
1262962800000,1.44045,1.44076,1.43372,1.43553,1.43553,4004,0
1262966400000,1.43549,1.43554,1.43004,1.43251,1.43251,3585,0
1262970000000,1.43250,1.44263,1.43220,1.44263,1.44263,898,0
1262977200000,1.44263,1.44263,1.44263,1.44263,1.44263,1,0
1262984400000,1.44144,1.44146,1.44097,1.44102,1.44102,8,0
1262988000000,1.44101,1.44116,1.44035,1.44093,1.44093,326,0
1262991600000,1.44085,1.44085,1.44085,1.44085,1.44085,1,0
1263168000000,1.44125,1.44776,1.44121,1.44638,1.44638,1987,0
1263171600000,1.44637,1.44945,1.44620,1.44831,1.44831,2066,0
1263175200000,1.44832,1.44926,1.44738,1.44806,1.44806,1670,0
1263178800000,1.44807,1.45094,1.44716,1.45094,1.45094,1573,0
1263182400000,1.45095,1.45324,1.45075,1.45213,1.45213,1811,0
1263186000000,1.45214,1.45232,1.44902,1.44972,1.44972,1275,0
1263189600000,1.44983,1.45236,1.44964,1.45181,1.45181,1396,0
1263193200000,1.45182,1.45183,1.44883,1.44884,1.44884,2096,0
1263196800000,1.44883,1.45125,1.44787,1.44873,1.44873,2311,0
1263200400000,1.44870,1.45307,1.44857,1.45183,1.45183,2755,0
1263204000000,1.45186,1.45343,1.45050,1.45204,1.45204,2262,0
1263207600000,1.45203,1.45347,1.45004,1.45257,1.45257,2136,0
1263211200000,1.45253,1.45451,1.45239,1.45302,1.45302,2075,0
1263214800000,1.45306,1.45405,1.45208,1.45222,1.45222,1566,0
1263218400000,1.45228,1.45331,1.45124,1.45305,1.45305,2385,0
1263222000000,1.45302,1.45303,1.44956,1.45141,1.45141,2895,0
1263225600000,1.45137,1.45545,1.45006,1.45456,1.45456,3309,0
